票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度額
ECC,47000,228579855,a,普通卡,1126,191,971FW,2017/10/1 06:34,1,花蓮火車站,2017/10/1 06:49,1,花蓮火車站,21,24,21,3
ECC,47000,241253327,b,市敬老,1126,191,971FW,2017/10/1 07:10,7,康樂村,2017/10/1 08:03,18,天祥,49,56,49,7
ECC,47000,2620331183,e,學生卡,1126,191,971FW,2017/10/1 08:03,18,天祥,2017/10/1 08:09,20,谷園,22,25,22,3
iPass,47000,E2BFCC05,A2,學生卡,1126,191,971FW,2017/10/1 08:03,18,天祥,2017/10/1 08:09,20,谷園,22,25,22,3
ECC,47000,258189496,a,普通卡,1126,191,971FW,2017/10/1 08:03,18,天祥,2017/10/1 08:09,20,谷園,22,25,22,3
ECC,47000,1433360374,a,普通卡,1126,191,971FW,2017/10/1 10:10,6,北埔,2017/10/1 10:50,1,花蓮火車站,33,38,33,5
ECC,47000,220940881,a,普通卡,1126,191,971FW,2017/10/1 10:13,5,國軍總醫院,2017/10/1 10:35,1,花蓮火車站,30,34,30,4
iPass,47000,D1B5EF13,A1,普通卡,1126,191,971FW,2017/10/1 10:20,3,花蓮工校,2017/10/1 10:46,1,花蓮火車站,21,24,21,3
ECC,47000,1639031845,a,普通卡,1126,191,971FW,2017/10/1 10:43,1,花蓮火車站,2017/10/1 10:53,1,花蓮火車站,21,24,21,3
ECC,47000,1637401573,a,普通卡,1126,191,971FW,2017/10/1 10:43,1,花蓮火車站,2017/10/1 10:53,1,花蓮火車站,21,24,21,3
ECC,47000,3544694232,a,普通卡,1126,191,971FW,2017/10/2 06:35,1,花蓮火車站,2017/10/2 06:55,2,上美崙,21,24,21,3
ECC,47000,228579855,a,普通卡,1126,191,971FW,2017/10/2 06:37,1,花蓮火車站,2017/10/2 06:54,2,上美崙,21,24,21,3
ECC,47000,3377600243,a,普通卡,1126,191,971FW,2017/10/2 06:45,1,花蓮火車站,2017/10/2 06:52,2,上美崙,21,24,21,3
ECC,47000,2649172220,a,普通卡,1126,191,971FW,2017/10/2 06:45,1,花蓮火車站,2017/10/2 06:52,2,上美崙,21,24,21,3
ECC,47000,909265717,a,普通卡,1126,191,971FW,2017/10/2 07:07,6,北埔,2017/10/2 07:30,11,新城,36,41,36,5
ECC,47000,843672805,a,普通卡,1126,191,971FW,2017/10/2 07:07,6,北埔,2017/10/2 07:30,11,新城,36,41,36,5
ECC,47000,897027989,a,普通卡,1126,191,971FW,2017/10/2 07:07,6,北埔,2017/10/2 07:29,11,新城,36,41,36,5
ECC,47000,687625861,a,普通卡,1126,191,971FW,2017/10/2 07:13,8,加灣,2017/10/2 07:28,11,新城,22,25,22,3
ECC,47000,1433360374,a,普通卡,1126,191,971FW,2017/10/2 11:48,6,北埔,2017/10/2 12:21,1,花蓮火車站,33,38,33,5
ECC,47000,885249237,a,普通卡,1141,191,971FW,2017/10/3 08:33,1,花蓮火車站,2017/10/3 09:05,2,上美崙,21,24,21,3
ECC,47000,803195765,a,普通卡,1141,191,971FW,2017/10/3 08:33,1,花蓮火車站,2017/10/3 09:05,2,上美崙,21,24,21,3
ECC,47000,904443381,a,普通卡,1141,191,971FW,2017/10/3 10:27,18,天祥,2017/10/3 14:29,29,梨山,250,285,250,35
ECC,47000,3193442875,a,普通卡,1141,191,971FW,2017/10/3 10:27,18,天祥,2017/10/3 14:29,29,梨山,250,285,250,35
ECC,47000,192187681,a,普通卡,1141,191,971FW,2017/10/3 18:05,18,天祥,2017/10/3 19:18,1,花蓮火車站,137,156,137,19
ECC,47000,228579855,a,普通卡,1126,191,971FW,2017/10/4 06:40,1,花蓮火車站,2017/10/4 06:54,2,上美崙,21,24,21,3
