票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度額
ECC,47000,3519143331,1,敬老卡,1121,111,FAC-771,2020/12/1 14:13:30,13,光復站,2020/12/1 15:24:15,2,吉安分局,0,69,61,8
ECC,47000,1683771368,1,敬老卡,1121,111,FAC-771,2020/12/1 14:21:39,12,萬榮,2020/12/1 15:40:28,1,花蓮火車站,0,66,58,8
ECC,47000,1625244403,a,一般卡,1121,111,FAC-771,2020/12/1 14:29:55,10,鳳林,2020/12/1 15:33:34,1,花蓮火車站,101,115,101,14
ECC,47000,3318973656,1,敬老卡,1121,111,FAC-771,2020/12/1 14:52:43,6,豐田,2020/12/1 15:28:46,1,花蓮火車站,0,35,30,5
ECC,47000,1744680549,1,敬老卡,1121,111,FAC-771,2020/12/1 14:52:51,6,豐田,2020/12/1 15:28:43,1,花蓮火車站,0,35,30,5
ECC,47000,809140933,e,學生卡,1121,111,FAC-771,2020/12/1 15:10:04,4,志學,2020/12/1 15:34:35,1,花蓮火車站,40,46,40,6
ECC,47000,1314620017,a,一般卡,1121,111,FAC-771,2020/12/1 16:57:02,1,花蓮火車站,2020/12/1 18:04:43,5,壽豐,32,61,54,7
ECC,47000,1737871285,a,一般卡,1121,111,FAC-771,2020/12/1 16:57:28,1,花蓮火車站,2020/12/1 17:53:35,4,志學,40,46,40,6
ECC,47000,1747846533,1,敬老卡,1121,111,FAC-771,2020/12/1 16:59:38,1,花蓮火車站,2020/12/1 18:42:19,12,萬榮,0,66,58,8
ECC,47000,1748072901,1,敬老卡,1121,111,FAC-771,2020/12/1 17:09:19,1,花蓮火車站,2020/12/1 18:12:04,5,壽豐,0,31,27,4
ECC,47000,3321410264,1,敬老卡,1121,111,FAC-771,2020/12/1 17:15:06,1,花蓮火車站,2020/12/1 17:37:04,2,吉安分局,0,13,11,2
ECC,47000,267737553,a,一般卡,1121,111,FAC-771,2020/12/1 17:15:11,1,花蓮火車站,2020/12/1 17:36:57,2,吉安分局,22,25,22,3
KRTC,47000,62D98B0A,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:23:28,1,花蓮火車站,2020/12/1 18:15:31,6,豐田,61,69,61,8
KRTC,47000,62F63614,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:23:32,1,花蓮火車站,2020/12/1 17:53:16,4,志學,40,46,40,6
KRTC,47000,62E5920A,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:23:34,1,花蓮火車站,2020/12/1 18:15:38,6,豐田,61,69,61,8
ECC,47000,1720859941,c,愛心卡,1121,111,FAC-771,2020/12/1 17:23:36,1,花蓮火車站,2020/12/1 17:53:28,4,志學,0,23,20,3
ECC,47000,2226933736,1,敬老卡,1121,111,FAC-771,2020/12/1 17:23:40,1,花蓮火車站,2020/12/1 18:48:41,13,光復站,0,76,67,9
KRTC,47000,0279C314,A1,高捷一般卡,1121,111,FAC-771,2020/12/1 17:23:43,1,花蓮火車站,2020/12/1 18:15:41,6,豐田,61,69,61,8
ECC,47000,1619258600,1,敬老卡,1121,111,FAC-771,2020/12/1 17:23:46,1,花蓮火車站,2020/12/1 18:48:45,13,光復站,0,76,67,9
KRTC,47000,82E28A0A,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:23:50,1,花蓮火車站,2020/12/1 18:08:41,5,壽豐,54,61,54,7
KRTC,47000,92E72B14,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:23:53,1,花蓮火車站,2020/12/1 18:15:34,6,豐田,61,69,61,8
ECC,47000,948773077,a,一般卡,1121,111,FAC-771,2020/12/1 17:23:55,1,花蓮火車站,2020/12/1 17:40:29,3,南華車站,7,33,29,4
ECC,47000,251745711,b,敬老卡,1121,111,FAC-771,2020/12/1 17:23:59,1,花蓮火車站,2020/12/1 17:53:21,4,志學,20,23,20,3
KRTC,47000,E2C9920A,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:24:07,1,花蓮火車站,2020/12/1 18:15:36,6,豐田,61,69,61,8
KRTC,47000,0261C209,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:24:17,1,花蓮火車站,2020/12/1 17:53:32,4,志學,40,46,40,6
KRTC,47000,D2BA3809,A2,高捷學生卡,1121,111,FAC-771,2020/12/1 17:24:21,1,花蓮火車站,2020/12/1 18:08:46,5,壽豐,54,61,54,7
ECC,47000,346152168,1,敬老卡,1121,111,FAC-771,2020/12/1 17:37:14,2,吉安分局,2020/12/1 18:47:04,13,光復站,0,69,61,8
ECC,47000,689410245,c,愛心卡,1121,111,FAC-771,2020/12/1 17:53:42,4,志學,2020/12/1 18:23:23,7,溪口,16,18,16,2
ECC,47000,905182386,a,一般卡,1121,111,FAC-771,2020/12/1 18:34:11,10,鳳林,2020/12/1 18:38:32,11,榮民醫院,22,25,22,3
ECC,47000,1739414869,a,一般卡,1121,138,951-FW,2020/12/1 07:14:36,1,花蓮火車站,2020/12/1 07:35:31,1,花蓮火車站,22,25,22,3
iCash,47000,7.5112E+15,a,一般卡,1121,138,951-FW,2020/12/1 07:14:44,1,花蓮火車站,2020/12/1 08:40:22,10,鳳林,101,115,101,14
ECC,47000,660267333,a,一般卡,1121,138,951-FW,2020/12/1 07:14:48,1,花蓮火車站,2020/12/1 07:43:16,2,吉安分局,22,25,22,3
ECC,47000,1745912645,c,愛心卡,1121,138,951-FW,2020/12/1 07:14:51,1,花蓮火車站,2020/12/1 07:53:17,3,南華車站,0,17,15,2
ECC,47000,1619838440,1,敬老卡,1121,138,951-FW,2020/12/1 07:14:58,1,花蓮火車站,2020/12/1 07:37:00,1,花蓮火車站,0,13,11,2
ECC,47000,1619932904,1,敬老卡,1121,138,951-FW,2020/12/1 07:20:39,1,花蓮火車站,2020/12/1 08:28:38,7,溪口,0,41,36,5
ECC,47000,1720900389,1,敬老卡,1121,138,951-FW,2020/12/1 07:20:43,1,花蓮火車站,2020/12/1 08:00:13,4,志學,0,23,20,3
ECC,47000,716036881,a,一般卡,1121,138,951-FW,2020/12/1 07:25:48,1,花蓮火車站,2020/12/1 08:07:35,5,壽豐,54,61,54,7
