票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度額
ECC,47000,3358220760,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:17:25 am,13,光復站,2021/11/1 12:49:23 pm,1,花蓮火車站,67,76,67,9
ECC,47000,1178223589,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:23:26 am,13,光復站,2021/11/1 12:52:24 pm,1,花蓮火車站,67,76,67,9
ECC,47000,1683771368,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:32:55 am,12,萬榮,2021/11/1 1:3:45 pm,1,花蓮火車站,58,66,58,8
ECC,47000,807494513,b,敬老卡,1121,00109,FAC-805,2021/11/1 11:42:28 am,10,鳳林,2021/11/1 11:53:24 am,8,林榮,11,13,11,2
ECC,47000,1747018917,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:42:32 am,10,鳳林,2021/11/1 1:4:12 pm,1,花蓮火車站,51,58,51,7
ECC,47000,343716072,c,愛心卡,1121,00109,FAC-805,2021/11/1 11:53:32 am,8,林榮,2021/11/1 12:52:45 pm,1,花蓮火車站,41,47,41,6
ECC,47000,1687653352,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:53:36 am,8,林榮,2021/11/1 12:56:57 pm,1,花蓮火車站,41,47,41,6
ECC,47000,3494485224,1,敬老卡,1121,00109,FAC-805,2021/11/1 11:58:27 am,7,溪口,2021/11/1 12:52:38 pm,1,花蓮火車站,36,41,36,5
ECC,47000,1253083141,e,學生卡,1121,00109,FAC-805,2021/11/1 12:19:21 pm,5,壽豐,2021/11/1 12:25:27 pm,4,志學,22,25,22,3
ECC,47000,1113032661,1,敬老卡,1121,00109,FAC-805,2021/11/1 12:25:32 pm,4,志學,2021/11/1 12:45:26 pm,1,花蓮火車站,20,23,20,3
ECC,47000,59950741,a,一般卡,1121,00109,FAC-805,2021/11/1 12:33:13 pm,3,南華車站,2021/11/1 12:49:34 pm,1,花蓮火車站,29,33,29,4
ECC,47000,157829777,b,敬老卡,1121,00109,FAC-805,2021/11/1 12:33:15 pm,3,南華車站,2021/11/1 12:49:31 pm,1,花蓮火車站,15,17,15,2
ECC,47000,1663682280,c,愛心卡,1121,00109,FAC-805,2021/11/1 12:42:34 pm,2,吉安分局,2021/11/1 12:52:50 pm,1,花蓮火車站,11,13,11,2
ECC,47000,1430232977,a,一般卡,1121,00109,FAC-805,2021/11/1 12:47:16 pm,1,花蓮火車站,2021/11/1 1:3:58 pm,1,花蓮火車站,22,25,22,3
ECC,47000,1219533857,a,一般卡,1121,00109,FAC-805,2021/11/1 12:47:21 pm,1,花蓮火車站,2021/11/1 1:3:53 pm,1,花蓮火車站,22,25,22,3
ECC,47000,1178023477,c,愛心卡,1121,00109,FAC-805,2021/11/1 12:55:32 pm,1,花蓮火車站,2021/11/1 1:1:33 pm,1,花蓮火車站,11,13,11,2
ECC,47000,1744398037,c,愛心卡,1121,00109,FAC-805,2021/11/1 12:59:3 pm,1,花蓮火車站,2021/11/1 1:3:39 pm,1,花蓮火車站,11,13,11,2
ECC,47000,1178759957,c,愛心卡,1121,00109,FAC-805,2021/11/1 6:7:38 pm,1,花蓮火車站,2021/11/1 6:42:2 pm,3,南華車站,15,17,15,2
