票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度
EasyCard,02,1221653957,2,敬老1票,1125,0000016099,KKA-9985,2024/06/01 08:01:20,1,豐濱,2024/06/01 08:03:51,3,豐濱加油站,12,13,12,1
EasyCard,02,317482984,2,敬老1票,1125,0000016099,KKA-9985,2024/06/01 08:02:58,2,豐濱鄉公所,2024/06/01 08:39:03,13,光復火車站,26,30,26,4
EasyCard,02,1221653957,2,敬老1票,1125,0000016099,KKA-9985,2024/06/01 11:39:05,11,豐濱加油站,2024/06/01 11:42:13,13,豐濱,12,13,12,1
KRTC,02,D2052120,60,一卡通-普通月票,1125,0000016099,KKA-9985,2024/06/01 13:03:14,3,豐濱加油站,2024/06/01 13:20:07,8,翠谷,23,26,23,3
KRTC,02,C2B42320,60,一卡通-普通月票,1125,0000016099,KKA-9985,2024/06/01 16:26:17,1,光復火車站,2024/06/01 17:08:46,13,豐濱,60,69,60,9
KRTC,02,D2052120,60,一卡通-普通月票,1125,0000016099,KKA-9985,2024/06/01 16:50:53,6,翠谷,2024/06/01 17:06:23,11,豐濱加油站,23,26,23,3
EasyCard,02,1003919541,1,一般票,1129,0000016459,KKB-1919,2024/06/01 07:28:15,1,花蓮轉運站,2024/06/01 07:52:17,2,上美崙,22,25,22,3
EasyCard,02,1177631637,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 07:37:16,1,花蓮轉運站,2024/06/01 07:57:34,3,國立花蓮高工,11,12,11,1
EasyCard,02,1203279541,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 07:48:00,1,花蓮轉運站,2024/06/01 08:14:55,4,嘉里村,15,17,15,2
EasyCard,02,378101605,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 08:02:08,3,國立花蓮高工,2024/06/01 08:13:06,4,嘉里村,11,12,11,1
EasyCard,02,385757109,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 08:08:12,3,國立花蓮高工,2024/06/01 08:22:07,7,康樂村,11,12,11,1
EasyCard,02,1253488933,6,學生票,1129,0000016459,KKB-1919,2024/06/01 08:58:17,1,太魯閣國家公園管理處,2024/06/01 09:48:36,11,國立花蓮高工,63,71,63,8
EasyCard,02,392881253,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 09:05:00,2,富世國小,2024/06/01 10:01:33,13,花蓮轉運站,41,47,41,6
EasyCard,02,1087305797,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 09:05:11,2,富世國小,2024/06/01 09:14:17,5,三棧派出所,12,14,12,2
EasyCard,02,3373815256,4,愛心票,1129,0000016459,KKB-1919,2024/06/01 09:06:02,3,新城佳興冰果室,2024/06/01 09:43:37,11,國立花蓮高工,26,29,26,3
EasyCard,02,2235002088,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 09:06:07,3,新城佳興冰果室,2024/06/01 10:15:26,13,花蓮轉運站,36,41,36,5
EasyCard,02,385757109,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 09:27:01,7,康樂村,2024/06/01 10:01:25,13,花蓮轉運站,21,23,21,2
EasyCard,02,500361109,4,愛心票,1129,0000016459,KKB-1919,2024/06/01 09:47:29,10,嘉里村,2024/06/01 09:56:49,13,花蓮轉運站,15,17,15,2
EasyCard,02,1177631637,2,敬老1票,1129,0000016459,KKB-1919,2024/06/01 09:50:31,11,國立花蓮高工,2024/06/01 10:13:12,13,花蓮轉運站,11,12,11,1
EasyCard,02,1111589701,6,學生票,1129,0000016459,KKB-1919,2024/06/01 18:09:41,1,花蓮轉運站,2024/06/01 18:14:44,2,上美崙,22,25,22,3
EasyCard,02,1177499589,4,愛心票,1129,0000016459,KKB-1919,2024/06/01 18:25:59,1,花蓮轉運站,2024/06/01 19:14:31,12,富世國小,41,47,41,6
KRTC,02,F1CD8536,A1,一般卡,1129,0000016459,KKB-1919,2024/06/01 09:48:41,11,國立花蓮高工,2024/06/01 10:18:55,13,花蓮轉運站,22,25,22,3
KRTC,02,12D7B51B,A2,學生卡,1129,0000016459,KKB-1919,2024/06/01 18:09:38,1,花蓮轉運站,2024/06/01 18:14:47,2,上美崙,22,25,22,3
EasyCard,02,451696133,1,一般票,1135,0000015979,KKA-9989,2024/06/01 07:15:43,22,高寮,2024/06/01 07:33:43,33,玉里圓環,22,25,22,3
EasyCard,02,1238140773,6,學生票,1135,0000015979,KKA-9989,2024/06/01 13:09:35,7,苓雅,2024/06/01 13:22:27,20,觀音國小,28,31,28,3
EasyCard,02,750269489,1,一般票,1135,0000015979,KKA-9989,2024/06/01 13:54:39,1,玉里站,2024/06/01 14:37:03,31,瑞良,78,89,78,11
EasyCard,02,451696133,1,一般票,1135,0000015979,KKA-9989,2024/06/01 13:54:42,1,玉里站,2024/06/01 14:17:31,13,高寮,30,34,30,4
EasyCard,02,1238140773,6,學生票,1135,0000015979,KKA-9989,2024/06/01 15:21:41,20,觀音國小,2024/06/01 15:33:30,29,樂合,25,29,25,4
EasyCard,02,750269489,1,一般票,1135,0000015979,KKA-9989,2024/06/01 06:54:47,4,瑞良,2024/06/01 07:33:54,33,玉里圓環,68,78,68,10
EasyCard,02,1292154581,1,一般票,1135,0000015979,KKA-9989,2024/06/01 17:34:38,1,瑞穗,2024/06/01 18:23:07,34,玉里站,78,89,78,11
EasyCard,02,2769963503,4,愛心票,1135,0000015979,KKA-9989,2024/06/01 06:49:03,1,瑞穗,2024/06/01 06:59:51,7,苓雅,11,12,11,1
EasyCard,02,3319971288,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 07:09:55,15,玉東國中,2024/06/01 07:30:30,31,玉里戶政事務所,16,19,16,3
EasyCard,02,344645608,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 07:15:31,22,高寮,2024/06/01 07:35:57,34,玉里站,15,17,15,2
EasyCard,02,1818715429,1,一般票,1135,0000015979,KKA-9989,2024/06/01 07:15:40,22,高寮,2024/06/01 07:33:50,33,玉里圓環,22,25,22,3
EasyCard,02,1178346885,4,愛心票,1135,0000015979,KKA-9989,2024/06/01 08:23:46,21,松浦,2024/06/01 08:41:51,33,瑞穗農會,16,18,16,2
EasyCard,02,388456789,1,一般票,1135,0000015979,KKA-9989,2024/06/01 08:23:49,21,松浦,2024/06/01 08:41:46,33,瑞穗農會,32,36,32,4
EasyCard,02,346147048,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 08:31:47,27,春日,2024/06/01 08:41:38,33,瑞穗農會,11,12,11,1
EasyCard,02,1663518440,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 08:32:26,27,春日,2024/06/01 08:43:46,34,瑞穗,11,12,11,1
EasyCard,02,3494469096,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 08:37:07,29,德武,2024/06/01 08:41:43,33,瑞穗農會,11,12,11,1
EasyCard,02,346147048,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 09:22:21,2,瑞穗農會,2024/06/01 09:32:36,8,春日,11,12,11,1
EasyCard,02,1178346885,4,愛心票,1135,0000015979,KKA-9989,2024/06/01 09:22:27,2,瑞穗農會,2024/06/01 09:38:31,14,松浦,16,18,16,2
EasyCard,02,388456789,1,一般票,1135,0000015979,KKA-9989,2024/06/01 09:22:31,2,瑞穗農會,2024/06/01 09:38:34,14,松浦,32,36,32,4
EasyCard,02,3494469096,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 09:22:36,2,瑞穗農會,2024/06/01 09:27:25,6,德武,11,12,11,1
EasyCard,02,3319971288,2,敬老1票,1135,0000015979,KKA-9989,2024/06/01 10:25:16,1,玉里站,2024/06/01 10:51:37,20,玉東國中,21,24,21,3
EasyCard,02,371165717,1,一般票,1135,0000015979,KKA-9989,2024/06/01 13:24:49,22,高寮,2024/06/01 13:43:12,34,玉里站,30,34,30,4
EasyCard,02,2616773327,1,一般票,1135,0000015979,KKA-9989,2024/06/01 13:55:49,1,玉里站,2024/06/01 14:10:42,9,下石光,22,25,22,3
EasyCard,02,1818715429,1,一般票,1135,0000015979,KKA-9989,2024/06/01 16:15:43,1,玉里站,2024/06/01 16:37:26,13,高寮,30,34,30,4
EasyCard,02,2769963503,4,愛心票,1135,0000016048,KKB-1503,2024/06/01 11:18:57,1,瑞穗,2024/06/01 12:05:45,34,玉里站,39,44,39,5
EasyCard,02,1384250405,1,一般票,1135,0000016048,KKB-1503,2024/06/01 11:54:03,28,新民,2024/06/01 12:02:20,33,玉里圓環,22,25,22,3
EasyCard,02,369838149,4,愛心票,1135,0000016048,KKB-1503,2024/06/01 15:16:09,1,玉里站,2024/06/01 15:44:24,11,鐵份,11,12,11,1
EasyCard,02,371165717,1,一般票,1135,0000016048,KKB-1503,2024/06/01 15:21:57,1,玉里站,2024/06/01 15:49:47,13,高寮,30,34,30,4
EasyCard,02,1178346885,4,愛心票,1135,0000016048,KKB-1503,2024/06/01 15:35:13,4,玉里戶政事務所,2024/06/01 15:57:07,21,松浦,18,21,18,3
EasyCard,02,630343953,1,一般票,1135,0000016048,KKB-1503,2024/06/01 17:54:15,1,玉里站,2024/06/01 18:24:52,20,玉東國中,42,48,42,6
